               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10697,            0.028472,            0.042147,           0.0032677,             0.53403,             0.02444,           0.0059427,            0.086593,            0.024163,            0.041367,            0.070714,            0.003254,            0.003254
                   1,            0.076321,            0.023184,             0.03818,             0.69065,             0.19167,             0.23257,            0.061738,            0.075769,            0.017438,            0.038654,            0.040497,           0.0063699,           0.0063699
                   2,            0.072426,            0.017614,            0.035092,             0.16126,             0.33241,             0.16945,            0.036135,            0.073692,            0.014798,            0.032938,             0.01006,           0.0092659,           0.0092659
                   3,            0.064611,            0.015511,            0.030457,             0.66602,             0.45876,              0.3921,             0.15282,            0.059107,            0.014393,            0.028806,             0.00901,             0.00901,             0.00901
                   4,            0.056275,            0.013208,            0.025733,             0.75301,             0.52706,             0.65243,             0.18801,            0.054246,            0.013929,            0.021784,             0.00901,             0.00901,             0.00901
                   5,            0.051929,            0.011617,            0.020603,              0.7284,             0.84087,             0.85603,              0.3318,            0.045505,            0.012111,            0.015234,             0.00868,             0.00868,             0.00868
                   6,            0.049356,            0.010379,            0.015803,             0.52888,             0.81013,              0.7277,             0.43975,            0.049174,            0.010534,            0.011527,             0.00835,             0.00835,             0.00835
                   7,            0.047168,             0.00925,            0.013757,             0.89333,             0.92982,             0.95203,             0.50471,            0.041519,           0.0097612,            0.010279,             0.00802,             0.00802,             0.00802
                   8,            0.041147,           0.0087445,            0.011038,             0.76719,             0.95771,             0.90715,             0.61774,            0.037445,           0.0090265,           0.0083271,             0.00769,             0.00769,             0.00769
                   9,            0.040904,           0.0081426,           0.0083835,             0.96859,             0.96745,             0.98631,             0.61658,            0.038263,           0.0084448,           0.0071634,             0.00736,             0.00736,             0.00736
                  10,            0.039343,           0.0076453,           0.0074563,             0.95564,             0.96343,             0.97938,             0.65072,            0.034579,           0.0080173,           0.0057514,             0.00703,             0.00703,             0.00703
                  11,            0.037819,            0.007513,           0.0069199,             0.97416,             0.95751,             0.98773,             0.70573,            0.030699,           0.0076047,           0.0059082,              0.0067,              0.0067,              0.0067
                  12,            0.036383,           0.0068353,           0.0061061,             0.97452,             0.95634,             0.98737,             0.66334,            0.032663,           0.0077553,           0.0052469,             0.00637,             0.00637,             0.00637
                  13,            0.035047,           0.0066342,           0.0055418,             0.98419,             0.97085,             0.98866,             0.74654,            0.031248,           0.0069989,           0.0044372,             0.00604,             0.00604,             0.00604
                  14,            0.034089,           0.0065598,           0.0052001,             0.96838,             0.97941,             0.98759,             0.70194,            0.029698,           0.0069962,            0.004263,             0.00571,             0.00571,             0.00571
                  15,            0.032272,           0.0063753,           0.0048769,             0.97969,             0.98254,             0.98968,             0.75307,            0.030897,           0.0068941,           0.0038828,             0.00538,             0.00538,             0.00538
                  16,            0.032245,           0.0064667,           0.0048918,              0.9811,             0.97862,               0.989,             0.75303,            0.027187,           0.0067517,           0.0040697,             0.00505,             0.00505,             0.00505
                  17,            0.029829,           0.0059955,           0.0047749,              0.9804,             0.97917,             0.98939,             0.72797,            0.026091,           0.0067604,           0.0042509,             0.00472,             0.00472,             0.00472
                  18,            0.028008,           0.0059566,           0.0044102,             0.97122,             0.97294,             0.98883,              0.7749,            0.024111,           0.0065522,           0.0036987,             0.00439,             0.00439,             0.00439
                  19,            0.026535,           0.0058715,           0.0037244,              0.9745,             0.97708,             0.98937,              0.7583,            0.025694,           0.0064405,           0.0034087,             0.00406,             0.00406,             0.00406
                  20,            0.025734,           0.0052641,           0.0037362,             0.97691,             0.97014,             0.98897,             0.77609,            0.021914,            0.006381,           0.0032211,             0.00373,             0.00373,             0.00373
                  21,            0.024913,           0.0056694,           0.0034872,             0.97703,             0.96973,             0.98909,             0.75692,            0.021957,           0.0062402,           0.0031938,              0.0034,              0.0034,              0.0034
                  22,            0.023299,           0.0054903,           0.0036618,             0.96277,             0.98313,             0.98891,             0.76574,            0.021442,           0.0061151,           0.0028433,             0.00307,             0.00307,             0.00307
                  23,            0.022364,           0.0052104,           0.0030014,             0.96004,             0.99043,             0.98913,             0.80459,            0.019181,           0.0058758,           0.0026232,             0.00274,             0.00274,             0.00274
                  24,            0.021126,           0.0052756,           0.0029482,             0.97983,             0.98307,             0.98919,             0.81387,            0.019402,            0.005738,           0.0025799,             0.00241,             0.00241,             0.00241
                  25,            0.019595,           0.0048641,           0.0026736,             0.96601,              0.9897,              0.9889,               0.805,            0.019301,           0.0058585,           0.0024375,             0.00208,             0.00208,             0.00208
                  26,            0.019765,           0.0049138,           0.0027878,             0.98493,             0.95999,             0.98866,             0.79865,            0.017508,           0.0057269,           0.0023375,             0.00175,             0.00175,             0.00175
                  27,            0.018562,           0.0048889,           0.0026073,             0.98059,             0.96483,             0.98832,             0.80834,            0.017272,           0.0057301,           0.0021658,             0.00142,             0.00142,             0.00142
                  28,            0.017052,           0.0043273,           0.0023383,              0.9736,             0.96644,             0.98874,             0.82138,            0.016487,           0.0056494,           0.0020249,             0.00109,             0.00109,             0.00109
                  29,            0.016673,           0.0046748,           0.0022966,             0.94899,             0.99313,             0.98863,             0.80502,            0.016422,           0.0057171,           0.0019378,             0.00076,             0.00076,             0.00076
